label,perf_L1_dcache_load_misses,perf_L1_dcache_loads,perf_LLC_load_misses,perf_LLC_loads,perf_branch_instructions,perf_branch_miss_rate,perf_branch_misses,perf_cache_miss_rate,perf_cache_misses,perf_cache_references,perf_context_switches,perf_cpu_migrations,perf_cycles,perf_instructions,perf_ipc,perf_page_faults,t_wall,temp_aux-therm_c,temp_cpu-therm_c,temp_gpu-therm_c,temp_thermal-fan-est_c,temp_ttp-therm_c,ts_unix
trojan_io,10333269.296691895,128778689.375,5216966.967132568,31584240.364624023,99510805.42626953,0.01703783750639629,1695448.9329833984,0.08536186437726088,21475203.861083984,251578430.45898438,33.334430505754426,0.6145564891230606,342373423.6875,585357678.9785156,1.7097053640261475,20.788845842238516,0.2000969049986452,39.394,39.1,38.532,39.047,38.792,1766332731.3446681
trojan_io,19260672.45654297,239997220.0600586,9726222.075073242,58868329.77355957,185452397.31933594,0.017281652534353424,3204923.89213562,0.09319358450850056,43697081.48046875,468885081.6386719,71.85428836150095,1.1868346231567557,649819222.46875,1090896454.8203125,1.6787691362466182,47.103856389410794,0.3001110250042984,39.393,39.111,38.516,39.045,38.745,1766332731.444708
trojan_io,8500239.296325684,110699375.84228516,4198062.94644165,26348006.455688477,85540426.78710938,0.015412891893321602,1318425.350578308,0.08520913505394574,18085525.52355957,212248669.2548828,33.31421826709993,0.4931569110303826,313603040.25390625,503178981.0996094,1.6045092569645194,20.816625934909098,0.4001071500024409,39.393,39.116,38.503,39.045,38.745,1766332731.5445876
trojan_io,8655686.545654297,112000411.80859375,4288439.7476501465,26774199.255981445,86545772.76123047,0.013291578112427545,1150329.8989562988,0.08574130102045388,18462317.770507812,215325841.2314453,38.443873851094395,0.5378897525006323,305917375.2519531,509092780.9472656,1.6641512451784652,18.52666534704622,0.5001129150041379,39.393,39.116,38.503,39.045,38.745,1766332731.6446836
trojan_io,8770335.051757812,113791888.1328125,4339425.337310791,27152526.46850586,87930095.37548828,0.015571497121012225,1369203.226989746,0.08591978324208159,18775222.752807617,218520369.1669922,35.37593484343961,0.6270974830767955,294927407.875,517235855.1503906,1.7537734416653887,20.436771968146786,0.60010794900154,39.39,39.115,38.491,39.038,38.72,1766332731.744523
trojan_io,8935330.074768066,113848580.52490234,4461108.717926025,27503030.826660156,87973903.1328125,0.016312060810142602,1435035.6576080322,0.09811874683064199,21616945.53894043,220314121.78808594,36.39256334491074,0.6003739344232599,305612871.9511719,517493547.8417969,1.6932976171385785,18.895611898158677,0.7000840440014144,39.39,39.115,38.491,39.038,38.72,1766332731.844411
trojan_io,8523329.730651855,113346224.83789062,4166674.112426758,26600051.69519043,87585719.1928711,0.015838345149525986,1387212.8507461548,0.08459931097684233,18225557.516357422,215433876.54003906,36.52449369523674,0.5097432067304908,307643865.3261719,515210112.8984375,1.6746965272725285,19.708841585204937,0.8001009590007016,39.39,39.102,38.5,39.038,38.72,1766332731.944427
trojan_io,10439871.738342285,133311194.42382812,5206551.096496582,32156536.085083008,103013195.69140625,0.015106556160494047,1556174.625984192,0.0844286593821874,21760328.288085938,257736276.3701172,40.83719419315457,0.6369910180801526,365496128.63671875,605959974.6542969,1.6579107880417108,18.58511054108385,0.9027507270002388,39.402,39.107,38.511,39.046,38.663,1766332732.0472703
trojan_io,10379961.630432129,137572785.70947266,5082588.45513916,32358665.25830078,106306243.50292969,0.017775143194959195,1889608.7007827759,0.0836260523253938,21897169.153076172,261846261.35253906,37.06156350765377,0.5955933748809912,363317130.0390625,625330844.1328125,1.7211708241380725,25.249487058375962,1.0001178380043712,39.402,39.13,38.509,39.046,38.663,1766332732.1446028
trojan_io,9589780.566101074,120774081.25585938,4815924.672943115,29408734.71081543,93325426.42480469,0.01718746290354763,1604027.3046340942,0.08808936448689875,20690374.34741211,234879369.0126953,40.894421549048275,0.5149747707910137,337386719.421875,548973096.6171875,1.6271330939103763,17.09804932284169,1.1000995889990008,39.402,39.139,38.519,39.046,38.663,1766332732.2444654
